"Var1"	"Freq"
"1"	"TNF"	6599
"2"	"MAPK1"	5152
"3"	"AKT1"	4759
"4"	"TP53"	4367
"5"	"BCL2"	4075
"6"	"BAX"	2587
"7"	"CASP3"	2580
"8"	"NFKB1"	2526
"9"	"EGFR"	2506
"10"	"ERK1/2"	2466
"11"	"STAT3"	2397
"12"	"TNFSF10"	2206
"13"	"VEGFA"	2205
"14"	"MAPK8"	2177
"15"	"MMP9"	2039
"16"	"MTOR"	1908
"17"	"ESR1"	1874
"18"	"PTGS2"	1865
"19"	"TNF-A"	1753
"20"	"IL6"	1728
"21"	"MAPK14"	1598
"22"	"MMP2"	1521
"23"	"HIF1A"	1511
"24"	"ABCB1"	1495
"25"	"CTNNB1"	1493
"26"	"CDKN1A"	1444
"27"	"MT-CO2"	1344
"28"	"TGFB1"	1334
"29"	"ERBB2"	1320
"30"	"COX-2"	1232
"31"	"NFE2L2"	1226
"32"	"IL1B"	1198
"33"	"AR"	1195
"34"	"IL-6"	1125
"35"	"MAP2K7"	1124
"36"	"CCND1"	1119
"37"	"MCL1"	1119
"38"	"ESR2"	1110
"39"	"TNF-ALPHA"	1105
"40"	"HSP90AA1"	1021
"41"	"BCL2L1"	1012
"42"	"INOS"	989
"43"	"ABCG2"	984
"44"	"P21"	964
"45"	"PARP1"	960
"46"	"MYC"	955
"47"	"AHR"	918
"48"	"CYCS"	894
"49"	"AKT"	826
"50"	"PPARG"	826
"51"	"CXCL8"	809
"52"	"CYP1A1"	803
"53"	"RELA"	792
"54"	"JUN"	779
"55"	"EGF"	743
"56"	"ERK"	711
"57"	"CASP9"	666
"58"	"ICAM1"	663
"59"	"P53"	660
"60"	"SRC"	656
"61"	"TLR4"	625
"62"	"IL-1B"	614
"63"	"ANXA5"	608
"64"	"MAPK"	608
"65"	"PTEN"	604
"66"	"IGF1"	599
"67"	"PPARA"	596
"68"	"CASP8"	585
"69"	"NFKBIA"	584
"70"	"P38"	574
"71"	"TRPV1"	553
"72"	"CDK1"	548
"73"	"NOS2"	547
"74"	"CDH1"	544
"75"	"CCL2"	540
"76"	"HMOX1"	534
"77"	"FOS"	525
"78"	"PLAU"	524
"79"	"NQO1"	519
"80"	"CD44"	513
"81"	"BCL-2"	510
"82"	"NF-KB"	510
