"Var1"	"Freq"
"1"	"Curcumin"	22436
"2"	"epigallocatechin gallate"	9167
"3"	"Genistein"	7681
"4"	"Flavonoids"	7531
"5"	"Quercetin"	7448
"6"	"Polyphenols"	5087
"7"	"Aspirin"	4331
"8"	"Apigenin"	2887
"9"	"silybin"	2812
"10"	"Luteolin"	2759
"11"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	2539
"12"	"Catechin"	2114
"13"	"phenolic acid"	1847
"14"	"baicalein"	1844
"15"	"Capsaicin"	1820
"16"	"Gallic Acid"	1798
"17"	"Isoflavones"	1734
"18"	"Chalcones"	1709
"19"	"alvocidib"	1510
"20"	"Anthocyanins"	1413
"21"	"Kaempferols"	1375
"22"	"fisetin"	1346
"23"	"ABT-737"	1335
"24"	"chrysin"	1296
"25"	"bisphenol A"	1250
"26"	"wogonin"	1136
"27"	"1,1-diphenyl-2-picrylhydrazyl"	1087
"28"	"naringenin"	1026
"29"	"daidzein"	1014
"30"	"Flavones"	1014
"31"	"Propofol"	1008
"32"	"baicalin"	986
"33"	"Phenols"	733
"34"	"nobiletin"	706
"35"	"Rutin"	692
"36"	"isoliquiritigenin"	691
"37"	"myricetin"	687
"38"	"xanthohumol"	686
"39"	"Rotenone"	635
"40"	"Butylated Hydroxytoluene"	615
"41"	"gingerol"	591
"42"	"Butylated Hydroxyanisole"	582
"43"	"Masoprocol"	575
"44"	"Proanthocyanidins"	565
"45"	"shogaol"	557
"46"	"butein"	527
"47"	"puerarin"	527
"48"	"Flavonols"	491
"49"	"rosmarinic acid"	488
"50"	"Hydroquinones"	484
"51"	"Hesperidin"	481
"52"	"procyanidin"	477
"53"	"Fenofibrate"	472
"54"	"Mesalamine"	472
"55"	"5,7-dihydroxy-6-methoxy-2-phenylchromen-4-one"	469
"56"	"3-methylquercetin"	438
"57"	"delphinidin"	438
"58"	"icariin"	437
"59"	"naringin"	429
"60"	"galangin"	428
"61"	"Hydrolyzable Tannins"	425
"62"	"formononetin"	417
"63"	"rhodioloside"	408
"64"	"Catechols"	360
"65"	"acacetin"	359
"66"	"theaflavin"	349
"67"	"demethoxycurcumin"	347
"68"	"licochalcone A"	347
"69"	"Salicylic Acid"	347
"70"	"Flavanones"	325
"71"	"bis(4-hydroxycinnamoyl)methane"	321
"72"	"hesperetin"	321
"73"	"cardamonin"	319
"74"	"Salicylates"	319
"75"	"flavone acetic acid"	293
"76"	"protocatechuic acid"	290
"77"	"5-(2,4-dihydroxy-5-isopropylphenyl)-4-(4-morpholin-4-ylmethylphenyl)isoxazole-3-carboxylic acid ethylamide"	287
"78"	"methyl gallate"	285
"79"	"icaritin"	284
"80"	"dihydromyricetin"	277
"81"	"epicatechin gallate"	272
"82"	"Triclosan"	271
"83"	"Coumestrol"	268
"84"	"beta-penta-O-galloyl-glucose"	267
"85"	"tangeretin"	265
"86"	"amentoflavone"	264
"87"	"farnesylthiosalicylic acid"	258
"88"	"baohuoside I"	257
"89"	"scutellarin"	255
"90"	"Phloretin"	249
"91"	"gallocatechol"	245
"92"	"acteoside"	233
"93"	"eupatilin"	228
"94"	"Equol"	223
"95"	"tetrahydrocurcumin"	220
"96"	"nonylphenol"	216
"97"	"Cur1 compound"	213
"98"	"Phloroglucinol"	211
"99"	"alpha-naphthoflavone"	209
"100"	"Anacardic Acids"	209
"101"	"Pyrogallol"	204
"102"	"phenoxodiol"	203
"103"	"cyanidin 3-O-glucoside"	195
"104"	"flavokawain B"	192
"105"	"taxifolin"	187
"106"	"Estrogens, Catechol"	185
"107"	"wogonoside"	184
"108"	"glabridin"	183
"109"	"dibenzoylmethane"	182
"110"	"capsazepine"	179
"111"	"2-tert-butylhydroquinone"	176
"112"	"Clofibrate"	174
"113"	"Zearalenone"	169
"114"	"7,3'-dihydroxy-4'-methoxyisoflavone"	167
"115"	"isoquercitrin"	166
"116"	"sesamol"	166
"117"	"cyanidin"	162
"118"	"Geraniin"	160
"119"	"2'-hydroxyflavanone"	156
"120"	"corilagin"	156
"121"	"punicalagin"	155
"122"	"diosmetin"	154
"123"	"hyperoside"	151
"124"	"morusin"	151
"125"	"beta-Naphthoflavone"	148
"126"	"xanthorrhizol"	146
"127"	"Grape Seed Proanthocyanidins"	143
"128"	"aminoflavone"	142
"129"	"protocatechualdehyde"	141
"130"	"liquiritigenin"	139
"131"	"tricin"	138
"132"	"bakuchiol"	137
"133"	"5-7-oxo-zeaenol"	132
"134"	"Sodium Salicylate"	132
"135"	"Parabens"	131
"136"	"polyphenon E"	130
"137"	"glyceollin"	128
"138"	"theaflavin-3,3'-digallate"	128
"139"	"asarone"	125
"140"	"Silymarin"	123
"141"	"anethole"	121
"142"	"8-prenylnaringenin"	118
"143"	"flavokawain A"	117
"144"	"ginkgetin"	117
"145"	"protoapigenone"	116
"146"	"4-dimethylamino-3',4'-dimethoxychalcone"	112
"147"	"Biflavonoids"	112
"148"	"quercetin 3-O-glucuronide"	112
"149"	"Bezafibrate"	109
"150"	"alpinetin"	108
"151"	"hispidulin"	107
"152"	"quercitrin"	107
"153"	"homoorientin"	106
"154"	"panduratin A"	105
"155"	"Pentachlorophenol"	105
"156"	"tesmilifene"	104
"157"	"2,4-bis(p-hydroxyphenyl)-2-butenal"	102
"158"	"genistin"	101
"159"	"2,4-Dinitrophenol"	100
"160"	"Phenolsulfonphthalein"	99
"161"	"tectorigenin"	99
"162"	"2,5-di-tert-butylhydroquinone"	98
"163"	"4-nonylphenol"	98
"164"	"myricitrin"	98
"165"	"astragalin"	97
"166"	"Zeranol"	97
"167"	"nitroaspirin"	96
"168"	"Probucol"	96
"169"	"ascochlorin"	95
"170"	"8-bromo-7-methoxychrysin"	94
"171"	"pelargonidin"	93
"172"	"vexibinol"	93
"173"	"liquiritin"	90
"174"	"Vanillic Acid"	90
"175"	"ginkgolic acid"	89
"176"	"ampelopsin"	88
"177"	"cirsimaritin"	87
"178"	"3,4-dihydroxyphenacyl caffeate phenylpropanoid ester"	86
"179"	"apigetrin"	86
"180"	"oleocanthal"	86
"181"	"pinocembrin"	84
"182"	"ethyl gallate"	82
"183"	"4-hydroxyestradiol"	80
"184"	"catechin gallate"	80
"185"	"Diosmin"	79
"186"	"hydroxysafflor yellow A"	79
"187"	"Metoclopramide"	79
"188"	"flavan-3-ol"	77
"189"	"vitexin"	77
"190"	"scutellarein"	76
"191"	"Bithionol"	75
"192"	"Propyl Gallate"	75
"193"	"4-(3-thioxo-3H-1,2-dithiol-5-yl)phenyl 2-((4-(nitrooxy)butanoyl)oxy)benzoate"	74
"194"	"4,6-dinitro-o-cresol"	74
"195"	"Flavonolignans"	74
"196"	"Halogenated Diphenyl Ethers"	74
"197"	"5-hydroxy-3,6,7,8,3',4'-hexamethoxyflavone"	73
"198"	"4,4'-hexafluorisopropylidene diphenol"	72
"199"	"syringic acid"	72
"200"	"sulfuretin"	71
"201"	"millepachine"	70
"202"	"troxerutin"	70
"203"	"eupafolin"	68
"204"	"isosilybin A"	68
"205"	"dihydroguaiaretic acid"	67
"206"	"hexahydrocurcumin"	67
"207"	"dimethoxycurcumin"	66
"208"	"artocarpin flavonoid"	65
"209"	"malabaricone A"	65
"210"	"malvidin"	65
"211"	"7-difluoromethoxyl-5,4'-di-n-octylgenistein"	64
"212"	"leonurine"	64
"213"	"procyanidin B"	64
"214"	"Resorcinols"	64
"215"	"breviscapine"	62
"216"	"butylparaben"	62
"217"	"jaceosidin"	62
"218"	"juglanin"	62
"219"	"polyphenon B"	62
"220"	"2',4'-dihydroxy-6'-methoxy-3',5'-dimethylchalcone"	60
"221"	"3,6-dihydroxyflavone"	60
"222"	"7-monohydroxyethylrutoside"	60
"223"	"zingerone"	60
"224"	"6-O-galloylglucose"	59
"225"	"chrysoeriol"	59
"226"	"3-hydroxyflavone"	58
"227"	"barbigerone"	58
"228"	"kurarinone"	58
"229"	"5,7-dimethoxyflavone"	57
"230"	"orientin"	57
"231"	"squamosamide"	57
"232"	"daidzin"	56
"233"	"hirsutenone"	56
"234"	"apigenin-6,8-di-C-glycopyranoside"	55
"235"	"gigantol"	55
"236"	"heminordihydroguaiaretic acid"	55
"237"	"xanthoangelol"	55
"238"	"2,2',4,4'-tetrabromodiphenyl ether"	54
"239"	"6,7-dihydroxyflavone"	54
"240"	"7,9,2',4'-tetrahydroxy-8-isopentenyl-5-methoxychalcone"	54
"241"	"terameprocol"	54
"242"	"atranorin"	52
"243"	"glycitein"	52
"244"	"Hexylresorcinol"	52
"245"	"eriodictyol"	51
"246"	"salvigenin"	51
"247"	"4-nitrophenol"	50
